ROI,p_plus,mean,rank
R IFG5,1,0.62064435947473,1
R anterior MCC,1,0.59463572662473,2
L anterior MCC,1,0.5709082609747299,3
R BST,1,0.56261757742473,4
R pre-SMA,0.9993,0.36875543917472997,5
L IFG5,0.9989,0.34128859646223,6
L BST,0.998675,0.40776120813572997,7
R IFG3,0.998575,0.35561113533222993,8
R anterior superior ventral Thalamus,0.997,0.3458070742219799,9
R dorsolateral PFC,0.996725,0.29308095571973,10
R anterior Caudate,0.99605,0.28278109310447996,11
R anterior inferior ventral Thalamus,0.994975,0.28227582818472996,12
R ACC,0.994325,0.27212101833197994,13
R dorsal anterior Insula,0.98965,0.24176344600595745,14
L anterior inferior ventral Thalamus,0.9805,0.22126233457867994,15
R PAG,0.9803,0.25251397475860493,16
L PAG,0.972975,0.22816898445101744,17
L ACC,0.9679,0.18977079956212994,18
L anterior Caudate,0.966125,0.19204593222732996,19
R posterior MCC,0.9631,0.19422193334213245,20
L IFG6,0.960275,0.20391092857666246,21
L Hypothalamus,0.948275,0.21012384680746496,22
L dorsal anterior Insula,0.92735,0.15083002843304244,23
L anterior dorsolateral Thalamus,0.920325,0.15752197115053806,24
R anterior Putamen,0.904625,0.13972159499496745,25
R ventral Striatum,0.890725,0.1363516308155302,26
L anterior superior ventral Thalamus,0.8569,0.14440876646079845,27
R anterior Crus I,0.8437,0.10540987430971695,28
L dorsolateral PFC,0.819175,0.0995683062173177,29
R Hypothalamus,0.814,0.1096547128479817,30
L anterior Crus I,0.80335,0.0947920673883187,31
L pre-SMA,0.7903,0.09037663351486044,32
R posterior ventromedial Thalamus,0.77065,0.07803844887334442,33
R ventral anterior Insula,0.761025,0.07651309898538095,34
R Pregenual ACC,0.732125,0.06553210897545995,35
L ventral Striatum,0.6767,0.05026072467773795,36
L Pregenual ACC,0.59745,0.0259185482744657,37
L posterior MCC,0.577475,0.02006145146896245,38
L anterior Putamen,0.569325,0.0183362578833267,39
R IFG6,0.50865,0.00257011095641495,40
L anterior dorsomedial Thalamus,0.468775,-0.0084801263866893,41
R anterior dorsolateral Thalamus,0.45575,-0.0121739641819968,42
L posterior Caudate,0.4271,-0.0191633485040728,43
L ventral anterior Insula,0.395625,-0.0277634072824513,44
posterior vmPFC,0.3788,-0.03376299310182877,45
R anterior dorsomedial Thalamus,0.335925,-0.0458908505585969,46
L posterior ventromedial Thalamus,0.3094,-0.05300685185888255,47
L IFG3,0.1933,-0.10217869516567703,48
R IFG1,0.1884,-0.09383433430295494,49
R posterior Caudate,0.157475,-0.1122130864250553,50
L mid/posterior Insula,0.0975,-0.1326240351578333,51
L Frontal Eye Field,0.09625,-0.1467302405065343,52
L basolateral/basomedial Amygdala,0.09415,-0.1530795884726073,53
R mid/posterior Insula,0.071975,-0.1534932254542518,54
R IFG4,0.070475,-0.18074941238532505,55
R Hippocampus tail,0.061525,-0.1631941597185298,56
L Hippocampus tail,0.056625,-0.1696793645386411,57
R posterior Putamen,0.03995,-0.19222207026722754,58
R Frontal Eye Field,0.0386,-0.1959296959629778,59
R Hippocampus body,0.034825,-0.19256931511718506,60
R centromedial Amygdala,0.0293,-0.22931304764838406,61
R basolateral/basomedial Amygdala,0.02685,-0.22032843913041678,62
L posterior Crus I,0.013425,-0.2701608686777358,63
R medial OFC,0.010725,-0.24767135291364806,64
R posterior ventrolateral Thalamus,0.00505,-0.31818305611952,65
L posterior Putamen,0.004725,-0.30030394287862006,66
L medial OFC,0.0037,-0.29406015107678507,67
R posterior Crus I,0.00285,-0.32315647775183753,68
L centromedial Amygdala,0.002725,-0.347815692373495,69
L Hippocampus body,0.0016,-0.31908407091927005,70
L lateral OFC,0.0016,-0.33421880450237007,71
R lateral OFC,0.0015,-0.3799964354990075,72
L IFG1,0.001025,-0.34044181614752006,73
L IFG2,3.75e-4,-0.37291290574864505,74
L posterior ventrolateral Thalamus,1.5e-4,-0.4327386991256201,75
anterior vmPFC,1e-4,-0.48137577363777007,76
medial PCC,2.5e-5,-0.59017200410027,77
R IFG2,0,-0.46279264572077006,78
R anterior Hippocampus,0,-0.6001002333502701,79
L IFG4,0,-0.60582315170027,80
L anterior Hippocampus,0,-0.6108403772002701,81
L PCC,0,-0.64300709300027,82
R PCC,0,-1.0230853072002701,83
L PCC/Precuneus,0,-1.08019220265027,84
R PCC/Precuneus,0,-1.21929182440027,85
