"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L__d_ant/lat_Thalamus",0.0424,0.0776,0.7083,-0.1103,-0.0849,0.0422,0.1698,0.1938
"L__d_ant/med_Thalamus",-0.1558,0.0775,0.0231,-0.3086,-0.2833,-0.1553,-0.0277,-0.0026
"L__v_med/post_Thalamus",-0.0662,0.0741,0.1864,-0.2135,-0.189,-0.0662,0.0553,0.0783
"L_ACC",0.1542,0.0707,0.9856,0.0154,0.0373,0.1546,0.2705,0.2931
"L_ant._Caudate",0.1924,0.0729,0.9959,0.049,0.0725,0.1921,0.3124,0.3351
"L_ant._dorsal_Insula",0.1696,0.0714,0.991,0.0293,0.0529,0.1698,0.287,0.3096
"L_ant._Hippocampus",-0.5862,0.0798,0,-0.7416,-0.7169,-0.5861,-0.4551,-0.4288
"L_ant._MCC",0.2867,0.0755,1,0.1401,0.1631,0.286,0.412,0.4353
"L_ant._Putamen",0.1239,0.0733,0.9542,-0.0213,0.0032,0.1244,0.2441,0.267
"L_ant._ventral_Insula",0.0211,0.0735,0.6138,-0.1233,-0.1003,0.021,0.1417,0.165
"L_BLBM_Amygdala",-0.1796,0.0821,0.0143,-0.3419,-0.3139,-0.1795,-0.0445,-0.019
"L_BST",0.0376,0.0979,0.6488,-0.1542,-0.1235,0.0374,0.1983,0.228
"L_CeMe_Amygdala",-0.3763,0.0908,0,-0.5557,-0.5263,-0.3757,-0.2275,-0.1981
"L_CrusI-krienen",-0.0457,0.0843,0.2929,-0.2105,-0.1835,-0.0457,0.0937,0.1202
"L_CrusI-shackman",0.0911,0.0763,0.8851,-0.0606,-0.0346,0.0912,0.2158,0.239
"L_dlPFC",0.1264,0.0765,0.95,-0.0246,0,0.1268,0.2511,0.2762
"L_FEF",-0.179,0.0775,0.0102,-0.3318,-0.3078,-0.1789,-0.0515,-0.0272
"L_Hippocampus_body",-0.4106,0.075,0,-0.5572,-0.5338,-0.4106,-0.2876,-0.2632
"L_Hippocampus_tail",-0.2494,0.0744,4e-04,-0.3958,-0.3719,-0.2493,-0.127,-0.1041
"L_Hypothalamus",-9e-04,0.0873,0.4965,-0.1733,-0.145,-8e-04,0.1422,0.1692
"L_IFG-1",-0.2943,0.0739,0,-0.44,-0.4156,-0.2939,-0.1723,-0.1499
"L_IFG-2",-0.2827,0.0765,1e-04,-0.4316,-0.408,-0.2831,-0.1562,-0.1331
"L_IFG-3",0.0085,0.0804,0.5443,-0.1498,-0.125,0.0094,0.1402,0.1661
"L_IFG-4",-0.3788,0.0856,0,-0.5469,-0.5195,-0.3789,-0.2387,-0.2129
"L_IFG-5",0.332,0.0729,1,0.1893,0.2112,0.3325,0.4513,0.475
"L_IFG-6",0.2044,0.0801,0.9945,0.0471,0.0726,0.2047,0.336,0.3605
"L_lat._OFC",-0.1612,0.0781,0.0188,-0.3155,-0.2906,-0.1608,-0.0329,-0.0085
"L_med._OFC",-0.2391,0.0738,7e-04,-0.3837,-0.3597,-0.2391,-0.1176,-0.0947
"L_mid/post_Insula",-0.1884,0.0706,0.0038,-0.3273,-0.305,-0.1879,-0.0733,-0.0499
"L_PAG",0.1824,0.0824,0.9872,0.0231,0.0475,0.182,0.318,0.3438
"L_PCC",-0.774,0.0843,0,-0.9395,-0.9126,-0.7743,-0.6338,-0.6076
"L_PCC/precuneus",-0.9562,0.1039,0,-1.1594,-1.1271,-0.9561,-0.7841,-0.7518
"L_post._Caudate",0.0786,0.0736,0.8552,-0.0655,-0.0429,0.0793,0.1988,0.2227
