"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L__d_ant/lat_Thalamus",-0.015,0.0608,0.4023,-0.136,-0.1153,-0.0146,0.0848,0.1045
"L__d_ant/med_Thalamus",-0.033,0.0626,0.2986,-0.1576,-0.137,-0.0326,0.0696,0.0881
"L__v_med/post_Thalamus",3e-04,0.0597,0.5025,-0.1175,-0.0982,4e-04,0.098,0.1181
"L_ACC",-0.0257,0.0599,0.3358,-0.1449,-0.1236,-0.0253,0.0721,0.0906
"L_ant._Caudate",-0.0096,0.0598,0.435,-0.1268,-0.1091,-0.0096,0.0884,0.1072
"L_ant._dorsal_Insula",0.0015,0.06,0.5104,-0.1171,-0.0971,0.0016,0.0999,0.1198
"L_ant._Hippocampus",0.008,0.0623,0.554,-0.1152,-0.0952,0.0084,0.11,0.1304
"L_ant._MCC",0.0135,0.0645,0.5837,-0.1134,-0.0921,0.0137,0.1189,0.1389
"L_ant._Putamen",-0.0081,0.0601,0.4442,-0.1261,-0.1065,-0.0082,0.0912,0.1095
"L_ant._ventral_Insula",-0.0133,0.0597,0.409,-0.1322,-0.1123,-0.0134,0.0849,0.1035
"L_BLBM_Amygdala",0.0198,0.0622,0.6253,-0.1022,-0.0818,0.0195,0.1226,0.1418
"L_BST",0.0032,0.0726,0.5253,-0.1432,-0.1179,0.0044,0.12,0.1434
"L_CeMe_Amygdala",-0.0119,0.0632,0.4278,-0.1389,-0.117,-0.0111,0.0908,0.1114
"L_CrusI-krienen",-0.0754,0.0675,0.1308,-0.2112,-0.1877,-0.0744,0.0343,0.0552
"L_CrusI-shackman",0.0025,0.0605,0.5161,-0.1163,-0.0976,0.0024,0.1026,0.1208
"L_dlPFC",4e-04,0.0606,0.5023,-0.118,-0.0989,4e-04,0.0998,0.1192
"L_FEF",0.0326,0.0617,0.7013,-0.0878,-0.0679,0.032,0.1344,0.1555
"L_Hippocampus_body",-0.0089,0.0614,0.4448,-0.1315,-0.1113,-0.0086,0.0915,0.1105
"L_Hippocampus_tail",0.0013,0.0599,0.509,-0.1167,-0.0974,0.0012,0.0998,0.1195
"L_Hypothalamus",0.0457,0.066,0.7562,-0.0815,-0.0609,0.0448,0.1556,0.1791
"L_IFG-1",0.0053,0.0603,0.5374,-0.1138,-0.094,0.0055,0.1045,0.1237
"L_IFG-2",0.007,0.0608,0.5464,-0.1124,-0.0926,0.0069,0.1067,0.1266
"L_IFG-3",-0.0178,0.0611,0.3855,-0.1386,-0.1188,-0.0175,0.0823,0.1016
"L_IFG-4",-0.0276,0.064,0.3308,-0.1537,-0.1335,-0.0273,0.0768,0.097
"L_IFG-5",-0.0107,0.0603,0.4324,-0.1294,-0.111,-0.0103,0.0885,0.1075
"L_IFG-6",-0.0304,0.0611,0.3111,-0.1533,-0.1324,-0.0297,0.0691,0.0883
"L_lat._OFC",-0.0037,0.0615,0.476,-0.1256,-0.1056,-0.0035,0.0972,0.1167
"L_med._OFC",0.0104,0.0602,0.5678,-0.1092,-0.0892,0.0102,0.1095,0.1276
"L_mid/post_Insula",0.0178,0.0597,0.6173,-0.0996,-0.0807,0.0179,0.1164,0.1357
"L_PAG",0.0084,0.0615,0.5554,-0.1128,-0.0928,0.0086,0.1101,0.1298
"L_PCC",0.0207,0.0662,0.6216,-0.1075,-0.0871,0.0199,0.1308,0.1528
"L_PCC/precuneus",-0.0782,0.0754,0.1455,-0.2324,-0.2054,-0.0765,0.0421,0.0654
"L_post._Caudate",-0.0342,0.0607,0.2872,-0.1555,-0.1348,-0.0335,0.0651,0.0843
"L_post._MCC",-0.0399,0.0609,0.2554,-0.1616,-0.1416,-0.0389,0.059,0.0785
"L_post._Putamen",-0.0254,0.0612,0.3392,-0.1463,-0.1269,-0.0252,0.0748,0.0936
"L_pre-SMA",-0.004,0.0606,0.4765,-0.1256,-0.1043,-0.0035,0.0956,0.1139
"L_pregenual_ACC",-0.0062,0.0594,0.459,-0.1239,-0.1037,-0.0061,0.0911,0.1095
