"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L__d_ant/lat_Thalamus",-0.0791,0.067,0.1199,-0.2095,-0.1888,-0.0791,0.0308,0.0527
"L__d_ant/med_Thalamus",-0.1268,0.0714,0.0358,-0.2691,-0.2454,-0.1257,-0.0118,0.0111
"L__v_med/post_Thalamus",-0.0637,0.0653,0.1629,-0.1908,-0.1701,-0.0637,0.0448,0.0652
"L_ACC",-0.0965,0.0653,0.0689,-0.2255,-0.2045,-0.096,0.0094,0.0309
"L_ant._Caudate",-0.0879,0.0656,0.0881,-0.2167,-0.1963,-0.0878,0.0201,0.0404
"L_ant._dorsal_Insula",-0.0593,0.0657,0.1837,-0.1869,-0.166,-0.0598,0.0485,0.0691
"L_ant._Hippocampus",-0.0372,0.0692,0.2925,-0.1716,-0.1496,-0.0372,0.0774,0.0999
"L_ant._MCC",-0.0199,0.0702,0.3856,-0.1577,-0.1348,-0.02,0.0956,0.1185
"L_ant._Putamen",-0.0832,0.0662,0.104,-0.2127,-0.1916,-0.0832,0.0263,0.0465
"L_ant._ventral_Insula",-0.0733,0.0658,0.1328,-0.2005,-0.1803,-0.0741,0.0353,0.0568
"L_BLBM_Amygdala",-0.0133,0.0708,0.4213,-0.1506,-0.1281,-0.0138,0.1046,0.1284
"L_BST",0.0039,0.0862,0.5086,-0.1601,-0.1341,0.0018,0.1487,0.1796
"L_CeMe_Amygdala",-0.0473,0.0714,0.2492,-0.1859,-0.1633,-0.0479,0.07,0.0957
"L_CrusI-krienen",-0.2137,0.079,0.0024,-0.3718,-0.3462,-0.2122,-0.0868,-0.0644
"L_CrusI-shackman",-0.0736,0.0664,0.1316,-0.203,-0.182,-0.0736,0.0353,0.0569
"L_dlPFC",-0.0616,0.0668,0.178,-0.1924,-0.1701,-0.0617,0.0484,0.0701
"L_FEF",0.0032,0.0689,0.5164,-0.1304,-0.1082,0.0029,0.1176,0.1417
"L_Hippocampus_body",-0.0513,0.0672,0.2214,-0.1828,-0.1611,-0.0516,0.0591,0.081
"L_Hippocampus_tail",-0.0589,0.0664,0.1871,-0.189,-0.1679,-0.0587,0.0502,0.0716
"L_Hypothalamus",-0.0015,0.0707,0.4894,-0.1407,-0.1181,-0.0018,0.1142,0.139
"L_IFG-1",-0.0468,0.0666,0.24,-0.1758,-0.155,-0.047,0.0632,0.0849
"L_IFG-2",-0.0435,0.0675,0.258,-0.1749,-0.1539,-0.0438,0.0675,0.0898
"L_IFG-3",-0.095,0.0682,0.0802,-0.2285,-0.207,-0.0946,0.016,0.0382
"L_IFG-4",-0.122,0.0721,0.0438,-0.2651,-0.2412,-0.1216,-0.0046,0.0171
"L_IFG-5",-0.0811,0.0662,0.1092,-0.2116,-0.1893,-0.0809,0.0279,0.0483
"L_IFG-6",-0.0983,0.0676,0.0721,-0.2306,-0.2092,-0.0985,0.0128,0.0338
"L_lat._OFC",-0.0625,0.0676,0.1754,-0.1934,-0.1722,-0.063,0.0492,0.0716
"L_med._OFC",-0.0407,0.0662,0.2695,-0.1691,-0.148,-0.041,0.0683,0.0898
"L_mid/post_Insula",-0.0264,0.0653,0.3418,-0.1525,-0.1328,-0.0264,0.0811,0.1015
