"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L__d_ant/lat_Thalamus",-0.2025,0.1188,0.0429,-0.4377,-0.3983,-0.2015,-0.0092,0.0283
"L__d_ant/med_Thalamus",-0.2281,0.124,0.0301,-0.4755,-0.4333,-0.2265,-0.0274,0.0093
"L__v_med/post_Thalamus",-0.0521,0.1098,0.3173,-0.268,-0.2323,-0.0523,0.1282,0.1639
"L_ACC",-0.0946,0.1057,0.1821,-0.3047,-0.2704,-0.0931,0.0789,0.1128
"L_ant._Caudate",-0.0459,0.1086,0.336,-0.2598,-0.2253,-0.0458,0.1327,0.1673
"L_ant._dorsal_Insula",-0.0208,0.1062,0.4208,-0.2277,-0.1947,-0.0213,0.1551,0.1893
"L_ant._Hippocampus",0.0379,0.121,0.6213,-0.198,-0.1617,0.0372,0.2363,0.2751
"L_ant._MCC",-0.5395,0.1224,0,-0.7829,-0.7425,-0.5382,-0.3397,-0.3026
"L_ant._Putamen",0.1173,0.113,0.8521,-0.1016,-0.0671,0.1164,0.3057,0.3442
"L_ant._ventral_Insula",0.0366,0.1097,0.6278,-0.1751,-0.1423,0.0357,0.2192,0.2553
"L_BLBM_Amygdala",-0.0794,0.1238,0.262,-0.323,-0.2833,-0.0789,0.1222,0.161
"L_BST",-0.6673,0.1855,0,-1.0406,-0.979,-0.6638,-0.3674,-0.3138
"L_CeMe_Amygdala",-0.047,0.1352,0.3668,-0.3146,-0.2713,-0.0453,0.1731,0.2169
"L_CrusI-krienen",0.3708,0.1402,0.9963,0.097,0.1426,0.3698,0.6025,0.6482
"L_CrusI-shackman",-0.0478,0.1136,0.3354,-0.2716,-0.2342,-0.0477,0.1401,0.1751
"L_dlPFC",-0.0095,0.1145,0.4653,-0.2343,-0.197,-0.0096,0.1787,0.2181
"L_FEF",-0.0847,0.1171,0.2348,-0.3168,-0.2794,-0.0839,0.1076,0.1422
"L_Hippocampus_body",-0.1501,0.1158,0.0968,-0.3818,-0.3409,-0.1498,0.0396,0.076
"L_Hippocampus_tail",-0.1396,0.1117,0.1051,-0.3614,-0.3253,-0.139,0.0428,0.0756
"L_Hypothalamus",-0.3574,0.1415,0.0048,-0.6417,-0.593,-0.3545,-0.1311,-0.0865
"L_IFG-1",0.0504,0.1119,0.6742,-0.1689,-0.1336,0.0506,0.2357,0.2695
"L_IFG-2",0.1127,0.1169,0.8345,-0.1146,-0.0788,0.112,0.3059,0.346
"L_IFG-3",0.1294,0.1232,0.8551,-0.1082,-0.069,0.1281,0.3349,0.3764
"L_IFG-4",0.354,0.1382,0.9955,0.0868,0.13,0.3527,0.5831,0.6312
"L_IFG-5",-0.0724,0.11,0.2572,-0.2876,-0.2529,-0.0721,0.1084,0.1419
"L_IFG-6",-0.04,0.1188,0.3662,-0.2758,-0.2373,-0.0398,0.1563,0.1939
"L_lat._OFC",0.2314,0.124,0.9724,-0.0046,0.0321,0.2292,0.4386,0.4823
"L_med._OFC",0.0595,0.112,0.7032,-0.1586,-0.1246,0.059,0.2451,0.2779
"L_mid/post_Insula",-0.1204,0.1065,0.1288,-0.3313,-0.2955,-0.1203,0.0543,0.0868
"L_PAG",-0.1215,0.1228,0.1596,-0.3649,-0.3241,-0.1204,0.079,0.1169
"L_PCC",-0.1752,0.1381,0.1009,-0.4508,-0.4047,-0.1735,0.0487,0.0932
"L_PCC/precuneus",0.2738,0.1663,0.9522,-0.0497,0.0036,0.2735,0.5472,0.6003
"L_post._Caudate",0.1201,0.1123,0.8572,-0.0972,-0.0622,0.1196,0.307,0.3443
"L_post._MCC",0.04,0.1076,0.6436,-0.1707,-0.137,0.0398,0.2174,0.2532
